LEAGUE_ID,TEAM_ID,MIN_YEAR,MAX_YEAR,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,CONFERENCE,REAL_RANK
0,1610612737,1949,2019,ATL,Hawks,1949,Atlanta,E,5
0,1610612738,1946,2019,BOS,Celtics,1946,Boston,E,1
0,1610612740,2002,2019,NOP,Pelicans,2002,New Orleans,W,10
0,1610612741,1966,2019,CHI,Bulls,1966,Chicago,E,8
0,1610612742,1980,2019,DAL,Mavericks,1980,Dallas,W,11
0,1610612743,1976,2019,DEN,Nuggets,1976,Denver,W,9
0,1610612745,1967,2019,HOU,Rockets,1967,Houston,W,3
0,1610612746,1970,2019,LAC,Clippers,1970,Los Angeles,W,4
0,1610612747,1948,2019,LAL,Lakers,1948,Los Angeles,W,14
0,1610612748,1988,2019,MIA,Heat,1988,Miami,E,9
0,1610612749,1968,2019,MIL,Bucks,1968,Milwaukee,E,6
0,1610612750,1989,2019,MIN,Timberwolves,1989,Minnesota,W,13
0,1610612751,1976,2019,BRO,Nets,1976,Brooklyn,E,15
0,1610612752,1946,2019,NYK,Knicks,1946,New York,E,12
0,1610612753,1989,2019,ORL,Magic,1989,Orlando,E,13
0,1610612754,1976,2019,IND,Pacers,1976,Indiana,E,7
0,1610612755,1949,2019,PHI,76ers,1949,Philadelphia,E,14
0,1610612756,1968,2019,PHX,Suns,1968,Phoenix,W,15
0,1610612757,1970,2019,POR,Trail Blazers,1970,Portland,W,8
0,1610612758,1948,2019,SAC,Kings,1948,Sacramento,W,12
0,1610612759,1976,2019,SAS,Spurs,1976,San Antonio,W,2
0,1610612760,1967,2019,OKL,Thunder,1967,Oklahoma City,W,6
0,1610612761,1995,2019,TOR,Raptors,1995,Toronto,E,3
0,1610612762,1974,2019,UTA,Jazz,1974,Utah,W,5
0,1610612763,1995,2019,MEM,Grizzlies,1995,Memphis,W,7
0,1610612764,1961,2019,WAS,Wizards,1961,Washington,E,4
0,1610612765,1948,2019,DET,Pistons,1948,Detroit,E,10
0,1610612766,1988,2019,CHA,Hornets,1988,Charlotte,E,11
0,1610612739,1970,2019,CLE,Cavaliers,1970,Cleveland,E,2
0,1610612744,1946,2019,GSW,Warriors,1946,Golden State,W,1